Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S99658720,Cackling Goose,Branta hutchinsii,292,30,US-OR,Polk,L2333588,Baskett Slough NWR--Smithfield Rd.,44.9835216,-123.2574606,2021-12-29,02:53 PM,eBird - Traveling Count,3,1,.59,,3
S67802329,Cackling Goose,Branta hutchinsii,292,5000,US-OR,Polk,L1301675,Baskett Slough NWR--South Slough Pond,44.9552627,-123.2620525,2020-04-25,01:00 PM,eBird - Traveling Count,40,1,.312,,2
S68720395,Cackling Goose,Branta hutchinsii,292,30,US-OR,Polk,L3858879,Baskett Slough NWR--South Slough transect path,44.9562801,-123.2571548,2020-05-09,11:24 AM,eBird - Traveling Count,59,1,1.773,,2
S42663288,Cackling Goose,Branta hutchinsii,292,20,US-OR,Polk,L2337353,Farmer Rd.,44.9689481,-123.205694,2018-02-10,11:38 AM,eBird - Traveling Count,43,1,4.952,,2
S43916949,Cackling Goose,Branta hutchinsii,292,240,US-OR,Polk,L2337353,Farmer Rd.,44.9689481,-123.205694,2018-03-24,11:11 AM,eBird - Traveling Count,47,1,2.702,,2
S44387091,Cackling Goose,Branta hutchinsii,292,200,US-OR,Polk,L2337353,Farmer Rd.,44.9689481,-123.205694,2018-04-08,03:48 PM,eBird - Traveling Count,70,1,4.023,,2
S51010923,Cackling Goose,Branta hutchinsii,292,290,US-OR,Polk,L2337353,Farmer Rd.,44.9689481,-123.205694,2018-12-27,03:49 PM,eBird - Traveling Count,62,1,2.373,,5
S62917850,Cackling Goose,Branta hutchinsii,292,15,US-OR,Polk,L2337353,Farmer Rd.,44.9689481,-123.205694,2020-01-02,09:59 AM,eBird - Traveling Count,14,1,3.584,,1
S78397633,Cackling Goose,Branta hutchinsii,292,40,US-OR,Polk,L2337353,Farmer Rd.,44.9689481,-123.205694,2021-01-01,10:11 AM,eBird - Traveling Count,18,1,4.056,,2
S42663286,Cackling Goose,Branta hutchinsii,292,1,US-OR,Polk,L1048528,Livermore Rd.,45.0097499,-123.2535124,2018-02-10,01:31 PM,eBird - Traveling Count,23,1,7.521,,2
S44234787,Cackling Goose,Branta hutchinsii,292,700,US-OR,Polk,L1048528,Livermore Rd.,45.0097499,-123.2535124,2018-04-03,04:45 PM,eBird - Stationary Count,60,1,,,5
S62309684,Cackling Goose,Branta hutchinsii,292,440,US-OR,Polk,L1048528,Livermore Rd.,45.0097499,-123.2535124,2019-12-14,02:23 PM,eBird - Traveling Count,29,1,6.56,,3
S62790979,Cackling Goose,Branta hutchinsii,292,2000,US-OR,Polk,L1048528,Livermore Rd.,45.0097499,-123.2535124,2019-12-30,03:49 PM,eBird - Traveling Count,42,1,7.079,,2
S66635022,Cackling Goose,Branta hutchinsii,292,22,US-OR,Polk,L1048528,Livermore Rd.,45.0097499,-123.2535124,2020-04-04,12:05 PM,eBird - Traveling Count,27,1,6.521,,2
S77889732,Cackling Goose,Branta hutchinsii,292,100,US-OR,Polk,L1048528,Livermore Rd.,45.0097499,-123.2535124,2020-12-23,11:04 AM,eBird - Traveling Count,40,1,6.986,,2
S99603844,Cackling Goose,Branta hutchinsii,292,450,US-OR,Polk,L1048528,Livermore Rd.,45.0097499,-123.2535124,2021-12-27,01:32 PM,eBird - Traveling Count,33,1,5.194,,3
S44681540,Cackling Goose,Branta hutchinsii,292,30,US-OR,Polk,L2463563,Orchard Heights City Park,44.9582844,-123.0612731,2018-04-17,06:25 PM,eBird - Traveling Count,69,1,1.8,,2,F Flyover
S78583494,Cackling Goose,Branta hutchinsii,292,2,US-OR,Polk,L2466385,Straub Nature Park,44.9630292,-123.0789328,2021-01-03,09:29 AM,eBird - Traveling Count,39,1,.888,,2
S62678015,Cackling Goose,Branta hutchinsii,292,5,US-OR,Polk,L8659685,Talmadge Rd.,44.8419481,-123.2102714,2019-12-27,02:03 PM,eBird - Stationary Count,3,1,,,2
S42663283,Cackling Goose,Branta hutchinsii,292,X,US-OR,Polk,L2801583,oregon2020--The Narrows,44.9629606,-123.2655513,2018-02-10,01:12 PM,eBird - Stationary Count,5,1,,,2
S45322331,Cackling Goose,Branta hutchinsii,292,2,US-OR,Polk,L2801583,oregon2020--The Narrows,44.9629606,-123.2655513,2018-05-05,12:13 PM,eBird - Stationary Count,7,1,,,2
S101747389,Cackling Goose,Branta hutchinsii,292,3,US-VA,Rockingham,L159403,Silver Lake,38.4231295,-78.9399259,2022-01-30,04:46 PM,eBird - Traveling Count,18,1,.556,,1
S44853877,Cackling Goose,Branta hutchinsii,292,X,US-OR,Tillamook,L112994,Tillamook,45.40579,-123.65297,2018-04-21,10:30 AM,eBird - Traveling Count,30,1,2.414,,1
S77399807,Cackling Goose,Branta hutchinsii,292,50,US-OR,Washington,L163529,Fernhill Wetlands (general),45.5064875,-123.0851855,2020-12-12,12:07 PM,eBird - Traveling Count,107,1,3.597,,2
S45008282,Cackling Goose,Branta hutchinsii,292,1600,US-OR,Washington,L3543611,Fernhill Wetlands--Natural Treatment System (ASoP/CWS survey),45.507174,-123.0879879,2018-04-27,09:41 AM,eBird - Traveling Count,45,1,1.915,,2,F Flyover
